2019-07-02 12:08:18,345 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - Setup: serverId=b18d3fb0-f1e5-40d1-bb65-7b4b64680c9a
2019-07-02 12:09:04,723 [4] INFO  Photon.LoadBalancing.GameServer.GameApplication - OnStopRequested: serverid=b18d3fb0-f1e5-40d1-bb65-7b4b64680c9a
2019-07-02 12:09:04,729 [4] INFO  Photon.SocketServer.ApplicationBase - Application is stopping: AppId=Game
2019-07-02 12:09:04,732 [11] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer - connection to master closed (id=2, reason=ManagedDisconnect, detail=), serverId=b18d3fb0-f1e5-40d1-bb65-7b4b64680c9a
2019-07-02 12:09:04,741 [4] INFO  Photon.LoadBalancing.GameServer.GameApplication - TearDown: serverId=b18d3fb0-f1e5-40d1-bb65-7b4b64680c9a
2019-07-02 12:09:04,746 [4] INFO  Photon.SocketServer.ApplicationBase - Application stop: AppId=Game
2019-07-02 12:09:04,773 [12] INFO  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Master connection established: address:127.0.0.1
2019-07-02 12:09:04,777 [12] INFO  Photon.Common.LoadBalancer.ServerStateManager - Server state is set to online
2019-07-02 12:09:04,784 [12] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer - Registering game server with address 106.242.203.69, TCP 4531, UDP 5056, WebSocket 9091, Secure WebSocket 19091, HTTP 80, ServerID 94a428a2-12bf-4adb-bc3e-a55fae7536c0, Hostname localhost, IPv6Address 
2019-07-02 12:09:04,805 [13] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer - Successfully registered at master server: serverId=94a428a2-12bf-4adb-bc3e-a55fae7536c0
2019-07-02 14:03:04,672 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - OnStopRequested: serverid=94a428a2-12bf-4adb-bc3e-a55fae7536c0
2019-07-02 14:03:04,682 [1] INFO  Photon.SocketServer.ApplicationBase - Application is stopping: AppId=Game
2019-07-02 14:03:04,686 [15] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer - connection to master closed (id=3, reason=ManagedDisconnect, detail=), serverId=94a428a2-12bf-4adb-bc3e-a55fae7536c0
2019-07-02 14:03:04,715 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - TearDown: serverId=94a428a2-12bf-4adb-bc3e-a55fae7536c0
2019-07-02 14:03:04,721 [1] INFO  Photon.SocketServer.ApplicationBase - Application stop: AppId=Game
